2017-01-12 14:24:16,293 [Thread-4:8772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:24:16,295 [Thread-4:8772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:24:16,308 [Thread-4:8772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5 OFFSET 15; args=()
2017-01-12 14:24:18,173 [Thread-5:5664] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:24:18,174 [Thread-5:5664] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:24:18,184 [Thread-5:5664] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5 OFFSET 10; args=()
2017-01-12 14:27:19,931 [Thread-6:6816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:27:19,934 [Thread-6:6816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:27:19,947 [Thread-6:6816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:27:25,667 [Thread-8:7000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:27:25,668 [Thread-8:7000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:27:25,674 [Thread-8:7000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:27:26,684 [Thread-10:1604] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:27:26,686 [Thread-10:1604] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:27:26,697 [Thread-10:1604] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:27:29,082 [Thread-11:8892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:27:29,082 [Thread-11:8892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:27:29,088 [Thread-11:8892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:27:31,674 [Thread-12:2004] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:27:31,677 [Thread-12:2004] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:27:31,684 [Thread-12:2004] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:27:32,463 [Thread-13:4144] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:27:32,464 [Thread-13:4144] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:27:32,470 [Thread-13:4144] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:28:05,851 [Thread-14:2428] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:05,852 [Thread-14:2428] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:28:05,858 [Thread-14:2428] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:28:06,770 [Thread-15:8728] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
